# Date		Time		Timestamp	Temperature	Humidity
13-07-2018	11:55:58	1531479358	U25.17		S61.08
13-07-2018	11:56:03	1531479363	U25.69		S67.17
13-07-2018	11:56:08	1531479368	U26.12		S68.84
13-07-2018	11:56:13	1531479373	U26.24		U74.61
13-07-2018	11:56:18	1531479378	U25.94		S63.27
13-07-2018	11:56:23	1531479383	U25.85		S61.03
13-07-2018	11:56:28	1531479388	U25.78		S60.44
13-07-2018	11:56:33	1531479393	U25.71		S60.15
13-07-2018	11:56:38	1531479399	U25.65		S60.14
13-07-2018	11:56:43	1531479403	U25.61		S60.18
13-07-2018	11:56:48	1531479409	U25.58		S60.19
13-07-2018	11:56:53	1531479414	U25.55		S60.24
13-07-2018	11:56:58	1531479419	U25.51		S60.2
13-07-2018	11:57:03	1531479424	U25.49		S60.28
13-07-2018	11:57:08	1531479429	U25.47		S60.25
13-07-2018	11:57:13	1531479434	U25.45		S60.37
